"WD05CD","WD05NM"
"17UGGU","Sandiacre North"
"17UGGW","Sandiacre South"
"17UGGX","Sawley"
"17UGGY","Stanley"
"17UGGZ","West Hallam and Dale Abbey"
"17UGHA","Wilsthorpe"
"17UHGC","Barms"
"17UHGD","Blackbrook"
"17UHGE","Burbage"
"17UHGF","Buxton Central"
"17UHGG","Chapel East"
"17UHGH","Chapel West"
"17UHGJ","Corbar"
"17UHGK","Cote Heath"
"17UHGL","Dinting"
"17UHGM","Gamesley"
"17UHGN","Hadfield North"
"17UHGP","Hadfield South"
"17UHGQ","Hayfield"
"17UHGR","Hope Valley"
"17UHGS","Howard Town"
"17UHGT","Limestone Peak"
"17UHGU","New Mills East"
"17UHGW","New Mills West"
"17UHGX","Old Glossop"
"17UHGY","Padfield"
"17UHGZ","St John's"
"17UHHA","Sett"
"17UHHB","Simmondley"
"17UHHC","Stone Bench"
"17UHHD","Temple"
"17UHHE","Tintwistle"
"17UHHF","Whaley Bridge"
"17UHHG","Whitfield"
"17UJGD","Ashover"
"17UJGE","Barlow and Holmesfield"
"17UJGF","Brampton and Walton"
"17UJGG","Clay Cross North"
"17UJGH","Clay Cross South"
"17UJGJ","Coal Aston"
"17UJGK","Dronfield North"
"17UJGL","Dronfield South"
"17UJGM","Dronfield Woodhouse"
"17UJGN","Eckington North"
"17UJGP","Eckington South"
"17UJGQ","Gosforth Valley"
"17UJGR","Grassmoor"
"17UJGS","Holmewood and Heath"
"17UJGT","Killamarsh East"
"17UJGU","Killamarsh West"
"17UJGW","North Wingfield Central"
"17UJGX","Pilsley and Morton"
"17UJGY","Renishaw"
"17UJGZ","Ridgeway and Marsh Lane"
"17UJHA","Shirland"
"17UJHB","Sutton"
"17UJHC","Tupton"
"17UJHD","Unstone"
"17UJHE","Wingerworth"
"17UKFW","Aston"
"17UKFX","Church Gresley"
"17UKFY","Etwall"
"17UKFZ","Hartshorne and Ticknall"
"17UKGA","Hatton"
"17UKGB","Hilton"
"17UKGC","Linton"
"17UKGD","Melbourne"
"17UKGE","Midway"
"17UKGF","Newhall and Stanton"
"17UKGG","North West"
"17UKGH","Repton"
"17UKGJ","Seales"
"17UKGK","Stenson"
"17UKGL","Swadlincote"
"17UKGM","Willington and Findern"
"17UKGN","Woodville"
"18UBGN","Axminster Rural"
"18UBGP","Axminster Town"
"18UBGQ","Beer and Branscombe"
"18UBGR","Broadclyst"
"18UBGS","Budleigh"
"18UBGT","Clyst Valley"
"18UBGU","Coly Valley"
"18UBGW","Dunkeswell"
"18UBGX","Exe Valley"
"18UBGY","Exmouth Brixington"
"18UBGZ","Exmouth Halsdon"
"18UBHA","Exmouth Littleham"
"18UBHB","Exmouth Town"
"18UBHC","Exmouth Withycombe Raleigh"
"18UBHD","Feniton and Buckerell"
"18UBHE","Honiton St Michael's"
"18UBHF","Honiton St Paul's"
"18UBHG","Newbridges"
"18UBHH","Newton Poppleford and Harpford"
"18UBHJ","Otterhead"
"18UBHK","Ottery St Mary Rural"
"18UBHL","Ottery St Mary Town"
"18UBHM","Raleigh"
"18UBHN","Seaton"
"18UBHP","Sidmouth Rural"
"18UBHQ","Sidmouth Sidford"
"18UBHR","Sidmouth Town"
"18UBHS","Tale Vale"
"18UBHT","Trinity"
"18UBHU","Whimple"
"18UBHW","Woodbury and Lympstone"
"18UBHX","Yarty"
"18UCFU","Alphington"
"18UCFW","Cowick"
"18UCFX","Duryard"
"18UCFY","Exwick"
"18UCFZ","Heavitree"
"18UCGA","Mincinglake"
"18UCGB","Newtown"
"18UCGC","Pennsylvania"
"18UCGD","Pinhoe"
"18UCGE","Polsloe"
"18UCGF","Priory"
"18UCGG","St David's"
"18UCGH","St James"
"18UCGJ","St Leonard's"
"18UCGK","St Loyes"
"18UCGL","St Thomas"
"18UCGM","Topsham"
"18UCGN","Whipton & Barton"
"18UDGF","Boniface"
"18UDGG","Bradninch"
"18UDGH","Cadbury"
"18UDGJ","Canonsleigh"
"18UDGK","Castle"
"18UDGL","Clare and Shuttern"
"18UDGM","Cranmore"
"18UDGN","Cullompton North"
"18UDGP","Cullompton Outer"
"18UDGQ","Cullompton South"
"18UDGR","Halberton"
"18UDGS","Lawrence"
"18UDGT","Lower Culm"
"18UDGU","Lowman"
"18UDGW","Newbrooke"
"18UDGX","Sandford and Creedy"
"18UDGY","Silverton"
"18UDGZ","Taw"
"18UDHA","Taw Vale"
"18UDHB","Upper Culm"
"18UDHC","Upper Yeo"
"18UDHD","Way"
"18UDHE","Westexe"
"18UDHF","Yeo"
"18UEGH","Bickington and Roundswell"
"18UEGJ","Bishop's Nympton"
"18UEGK","Bratton Fleming"
"18UEGL","Braunton East"
"18UEGM","Braunton West"
"18UEGN","Central Town"
"18UEGP","Chittlehampton"
"18UEGQ","Chulmleigh"
"18UEGR","Combe Martin"
"18UEGS","Forches and Whiddon Valley"
"18UEGT","Fremington"
"18UEGU","Georgeham and Mortehoe"
"18UEGW","Heanton Punchardon"
"18UEGX","Ilfracombe Central"
"18UEGY","Ilfracombe East"
"18UEGZ","Ilfracombe West"
"18UEHA","Instow"
"18UEHB","Landkey, Swimbridge and Taw"
"18UEHC","Longbridge"
"18UEHD","Lynton and Lynmouth"
"18UEHE","Marwood"
"18UEHF","Newport"
"18UEHG","North Molton"
"18UEHH","Pilton"
"18UEHJ","South Molton"
"18UEHK","Witheridge"
"18UEHL","Yeo Valley"
"18UGGM","Allington and Loddiswell"
"18UGGN","Avon and Harbourne"
"18UGGP","Bickleigh and Shaugh"
"18UGGQ","Charterlands"
"18UGGR","Cornwood and Sparkwell"
"18UGGS","Dartington"
"18UGGT","Dartmouth and Kingswear"
"18UGGU","Dartmouth Townstal"
"18UGGW","East Dart"
"18UGGX","Eastmoor"
"18UGGY","Erme Valley"
"18UGGZ","Ivybridge Central"
"18UGHA","Ivybridge Filham"
"18UGHB","Ivybridge Woodlands"
"18UGHC","Kingsbridge East"
"18UGHD","Kingsbridge North"
"18UGHE","Marldon"
"18UGHF","Newton and Noss"
"18UGHG","Salcombe and Malborough"
"18UGHH","Saltstone"
"18UGHJ","Skerries"
"18UGHK","South Brent"
"18UGHL","Stokenham"
"18UGHM","Thurlestone"
"18UGHN","Totnes Bridgetown"
"18UGHP","Totnes Town"
"18UGHQ","Wembury and Brixton"
"18UGHR","West Dart"
"18UGHS","Westville and Alvington"
"18UGHT","Yealmpton"
"18UHGL","Ambrook"
"18UHGM","Ashburton and Buckfastleigh"
"18UHGN","Bishopsteignton"
"18UHGP","Bovey"
"18UHGQ","Bradley"
"18UHGR","Buckland and Milber"
"18UHGS","Bushell"
"18UHGT","Chudleigh"
"18UHGU","College"
"18UHGW","Dawlish Central and North East"
"18UHGX","Dawlish South West"
"18UHGY","Haytor"
"18UHGZ","Ipplepen"
"18UHHA","Kenn Valley"
"18UHHB","Kenton with Starcross"
"18UHHC","Kerswell-with-Combe"
"18UHHD","Kingsteignton East"
"18UHHE","Kingsteignton West"
"18UHHF","Moorland"
"18UHHG","Shaldon and Stokeinteignhead"
"18UHHH","Teignbridge North"
"18UHHJ","Teignmouth Central"
"18UHHK","Teignmouth East"
"18UHHL","Teignmouth West"
"18UHHM","Teign Valley"
"18UKGE","Appledore"
"18UKGF","Bideford East"
"18UKGG","Bideford North"
"18UKGH","Bideford South"
"18UKGJ","Broadheath"
"18UKGK","Clinton"
"18UKGL","Clovelly Bay"
"18UKGM","Coham Bridge"
"18UKGN","Forest"
"18UKGP","Hartland and Bradworthy"
"18UKGQ","Holsworthy"
"18UKGR","Kenwith"
"18UKGS","Monkleigh and Littleham"
"18UKGT","Northam"
"18UKGU","Orchard Hill"
"18UKGW","Shebbear and Langtree"
"18UKGX","Tamarside"
"18UKGY","Three Moors"
"18UKGZ","Torrington"
"18UKHA","Two Rivers"
"18UKHB","Waldon"
"18UKHC","Westward Ho!"
"18UKHD","Winkleigh"
"18ULFY","Bere Ferrers"
"18ULFZ","Bridestowe"
"18ULGA","Buckland Monachorum"
"18ULGB","Burrator"
"18ULGC","Chagford"
"18ULGD","Drewsteignton"
"18ULGE","Exbourne"
"18ULGF","Hatherleigh"
"18ULGG","Lew Valley"
"18ULGH","Lydford"
"18ULGJ","Mary Tavy"
"18ULGK","Milton Ford"
"18ULGL","North Tawton"
"18ULGM","Okehampton East"
"18ULGN","Okehampton West"
"18ULGP","Tamarside"
"18ULGQ","Tavistock North"
"18ULGR","Tavistock South"
"18ULGS","Tavistock South West"
"18ULGT","South Tawton"
"18ULGU","Thrushel"
"18ULGW","Walkham"
"19UCFL","Burton and Winkton"
"19UCFM","Grange"
"19UCFN","Highcliffe"
"19UCFP","Jumpers"
"19UCFQ","Mudeford and Friars Cliff"
"19UCFR","North Highcliffe and Walkford"
"19UCFS","Portfield"
"19UCFT","Purewell and Stanpit"
"19UCFU","St Catherine's and Hurn"
"19UCFW","Town Centre"
"19UCFX","West Highcliffe"
"19UDGA","Alderholt"
"19UDGB","Ameysford"
"19UDGC","Colehill East"
"19UDGD","Colehill West"
"19UDGE","Corfe Mullen Central"
"19UDGF","Corfe Mullen North"
"19UDGG","Corfe Mullen South"
"19UDGH","Crane"
"19UDGJ","Ferndown Central"
"19UDGK","Ferndown Links"
"19UDGL","Handley Vale"
"19UDGM","Holt"
"19UDGN","Longham"
"19UDGP","Parley"
"19UDGQ","St Leonards and St Ives East"
"19UDGR","St Leonards and St Ives West"
"19UDGS","Stapehill"
"19UDGT","Stour"
"19UDGU","Three Cross and Potterne"
"19UDGW","Verwood Dewlands"
"19UDGX","Verwood Newtown"
"19UDGY","Verwood Stephen's Castle"
"19UDGZ","West Moors"
"19UDHA","Wimborne Minster"
"19UEGE","Abbey"
"19UEGF","Blackmore"
"19UEGG","Blandford Damory Down"
"19UEGH","Blandford Hilltop"
"19UEGJ","Blandford Langton St Leonards"
"19UEGK","Blandford Old Town"
"19UEGL","Blandford Station"
"19UEGM","Bourton and District"
"19UEGN","Bulbarrow"
"19UEGP","Cranborne Chase"
"19UEGQ","Gillingham Town"
"19UEGR","Hill Forts"
"19UEGS","Lodbourne"
"19UEGT","Lydden Vale"
"19UEGU","Marnhull"
"19UEGW","Milton"
"19UEGX","Motcombe and Ham"
"19UEGY","Portman"
"19UEGZ","Riversdale"
"19UEHA","Shaftesbury Central"
"19UEHB","Shaftesbury Christy's"
"19UEHC","Shaftesbury Grosvenor"
"19UEHD","Shaftesbury Underhill"
"19UEHE","Stour Valley"
"19UEHF","The Beacon"
"19UEHG","The Lower Tarrants"
"19UEHH","The Stours"
"19UEHJ","Wyke"
"19UGFN","Bere Regis"
"19UGFP","Castle"
"19UGFQ","Creech Barrow"
"19UGFR","Langton"
"19UGFS","Lytchett Matravers"
"19UGFT","Lytchett Minster and Upton East"
"19UGFU","Lytchett Minster and Upton West"
"19UGFW","St. Martin"
"19UGFX","Swanage North"
"19UGFY","Swanage South"
"19UGFZ","Wareham"
"19UGGA","West Purbeck"
"19UGGB","Winfrith"
"19UGGC","Wool"
"19UHGR","Beaminster"
"19UHGS","Bradford Abbas"
"19UHGT","Bradpole"
"19UHGU","Bridport North"
"19UHGW","Bridport South and Bothenhampton"
"19UHGX","Broadmayne"
"19UHGY","Broadwindsor"
"19UHGZ","Burton Bradstock"
"19UHHA","Cam Vale"
"19UHHB","Charminster and Cerne Valley"
"19UHHC","Charmouth"
"19UHHD","Chesil Bank"
"19UHHE","Chickerell"
"19UHHF","Chideock and Symondsbury"
"19UHHG","Dorchester East"
"19UHHH","Dorchester North"
"19UHHJ","Dorchester South"
"19UHHK","Dorchester West"
"19UHHL","Frome Valley"
"19UHHM","Halstock"
"19UHHN","Loders"
"19UHHP","Lyme Regis"
"19UHHQ","Maiden Newton"
"19UHHR","Marshwood Vale"
"19UHHS","Netherbury"
"19UHHT","Owermoigne"
"19UHHU","Piddle Valley"
"19UHHW","Puddletown"
"19UHHX","Queen Thorne"
"19UHHY","Sherborne East"
"19UHHZ","Sherborne West"
"19UHJA","Winterborne St Martin"
"19UHJB","Yetminster"
"19UJFQ","Littlemoor"
"19UJFR","Melcombe Regis"
"19UJFS","Preston"
"19UJFT","Radipole"
"19UJFU","Tophill East"
"19UJFW","Tophill West"
"19UJFX","Underhill"
"19UJFY","Upwey and Broadwey"
"19UJFZ","Westham East"
"19UJGA","Westham North"
"19UJGB","Westham West"
"19UJGC","Wey Valley"
"19UJGD","Weymouth East"
"19UJGE","Weymouth West"
"19UJGF","Wyke Regis"
"20UBFT","Bournmoor"
"20UBFU","Chester Central"
"20UBFW","Chester East"
"20UBFX","Chester North"
"20UBFY","Chester South"
"20UBFZ","Chester West"
"20UBGA","Edmondsley and Waldridge"
"20UBGB","Grange Villa and West Pelton"
"20UBGC","Kimblesworth and Plawsworth"
"20UBGD","Lumley"
"20UBGE","North Lodge"
"20UBGF","Ouston"
"20UBGG","Pelton"
"20UBGH","Pelton Fell"
"20UBGJ","Sacriston"
"20UBGK","Urpeth"
"20UDGA","Annfield Plain"
"20UDGB","Benfieldside"
"20UDGC","Blackhill"
"20UDGD","Burnhope"
"20UDGE","Burnopfield"
"20UDGF","Castleside"
"20UDGG","Catchgate"
"20UDGH","Consett East"
"20UDGJ","Consett North"
"20UDGK","Consett South"
"20UDGL","Cornsay"
"20UDGM","Craghead and South Stanley"
"20UDGN","Delves Lane"
"20UDGP","Dipton"
"20UDGQ","Ebchester and Medomsley"
"20UDGR","Esh"
"20UDGS","Havannah"
"20UDGT","Lanchester"
"20UDGU","Leadgate"
"20UDGW","South Moor"
"20UDGX","Stanley Hall"
"20UDGY","Tanfield"
"20UEGB","Bearpark and Witton Gilbert"
"20UEGC","Belmont"
"20UEGD","Brancepeth, Langley Moor and Meadowfield"
"20UEGE","Brandon"
"20UEGF","Carrville and Gilesgate Moor"
"20UEGG","Cassop-cum-Quarrington"
"20UEGH","Coxhoe"
"20UEGJ","Crossgate and Framwelgate"
"20UEGK","Deerness"
"20UEGL","Elvet"
"20UEGM","Framwellgate Moor"
"20UEGN","Neville's Cross"
"20UEGP","New Brancepeth and Ushaw Moor"
"20UEGQ","Newton Hall North"
"20UEGR","Newton Hall South"
"20UEGS","Pelaw and Gilesgate"
"20UEGT","Pittington and West Rainton"
"20UEGU","St Nicholas"
"20UEGW","Shadforth and Sherburn"
"20UEGX","Shincliffe"
"20UFGD","Acre Rigg"
"20UFGE","Blackhalls"
"20UFGF","Dawdon"
"20UFGG","Dene House"
"20UFGH","Deneside"
"20UFGJ","Easington Colliery"
"20UFGK","Easington Village and South Hetton"
"20UFGL","Eden Hill"
"20UFGM","Haswell and Shotton"
"20UFGN","Horden North"
"20UFGP","Horden South"
"20UFGQ","Howletch"
"20UFGR","Hutton Henry"
"20UFGS","Murton East"
"20UFGT","Murton West"
"20UFGU","Passfield"
"20UFGW","Seaham Harbour"
"20UFGX","Seaham North"
"20UFGY","Thornley and Wheatley Hill"
"20UFGZ","Wingate"
"20UGFZ","Bishop Middleham and Cornforth"
"20UGGA","Broom"
"20UGGB","Byerley"
"20UGGC","Chilton"
"20UGGD","Ferryhill"
"20UGGE","Fishburn and Old Trimdon"
"20UGGF","Greenfield Middridge"
"20UGGG","Low Spennymoor and Tudhoe Grange"
"20UGGH","Middlestone"
"20UGGJ","Neville and Simpasture"
"20UGGK","New Trimdon and Trimdon Grange"
"20UGGL","Sedgefield"
"20UGGM","Shafto St Marys"
"20UGGN","Spennymoor"
"20UGGP","Sunnydale"
"20UGGQ","Thickley"
"20UGGR","Tudhoe"
"20UGGS","West"
"20UGGT","Woodham"
"20UHFW","Barnard Castle East"
"20UHFX","Barnard Castle North"
"20UHFY","Barnard Castle West"
"20UHFZ","Barningham and Ovington"
"20UHGA","Cockfield"
"20UHGB","Cotherstone with Lartington"
"20UHGC","Eggleston"
"20UHGD","Etherley"
"20UHGE","Evenwood, Ramshaw and Lands"
"20UHGF","Gainford and Winston"
"20UHGG","Greta"
"20UHGH","Hamsterley and South Bedburn"
"20UHGJ","Ingleton"
"20UHGK","Lynesack"
"20UHGL","Middleton-in-Teesdale"
"20UHGM","Romaldkirk"
"20UHGN","Staindrop"
"20UHGP","Startforth"
"20UHGQ","Streatlam and Whorlton"
"20UJFY","Bishop Auckland Town"
"20UJFZ","Cockton Hill"
"20UJGA","Coundon"
"20UJGB","Crook North"
"20UJGC","Crook South"
"20UJGD","Dene Valley"
"20UJGE","Escomb"
"20UJGF","Henknowle"
"20UJGG","Howden"
"20UJGH","Hunwick"
"20UJGJ","St John's Chapel"
"20UJGK","Stanhope"
"20UJGL","Tow Law and Stanley"
"20UJGM","West Auckland"
"20UJGN","Wheatbottom and Helmington Row"
"20UJGP","Willington Central"
"20UJGQ","Willington West End"
"20UJGR","Wolsingham and Witton-le-Wear"
"20UJGS","Woodhouse Close"
"21UCFL","Devonshire"
"21UCFM","Hampden Park"
"21UCFN","Langney"
"21UCFP","Meads"
"21UCFQ","Old Town"
"21UCFR","Ratton"
"21UCFS","St Anthony's"
"21UCFT","Sovereign"
"21UCFU","Upperton"
"21UDFS","Ashdown"
"21UDFT","Baird"
"21UDFU","Braybrooke"
"21UDFW","Castle"
"21UDFX","Central St Leonards"
"21UDFY","Conquest"
"21UDFZ","Gensing"
"21UDGA","Hollington"
"21UDGB","Maze Hill"
"21UDGC","Old Hastings"
"21UDGD","Ore"
"21UDGE","St Helens"
"21UDGF","Silverhill"
"21UDGG","Tressell"
"21UDGH","West St Leonards"
"21UDGJ","Wishing Tree"
"21UFGG","Barcombe and Hamsey"
"21UFGH","Chailey and Wivelsfield"
"21UFGJ","Ditchling and Westmeston"
"21UFGK","East Saltdean and Telscombe Cliffs"
"21UFGL","Kingston"
"21UFGM","Lewes Bridge"
"21UFGN","Lewes Castle"
"21UFGP","Lewes Priory"
"21UFGQ","Newhaven Denton and Meeching"
"21UFGR","Newhaven Valley"
"21UFGS","Newick"
"21UFGT","Ouse Valley and Ringmer"
"21UFGU","Peacehaven East"
"21UFGW","Peacehaven North"
"21UFGX","Peacehaven West"
"21UFGY","Plumpton, Streat, East Chiltington and St John (Without)"
"21UFGZ","Seaford Central"
"21UFHA","Seaford East"
"21UFHB","Seaford North"
"21UFHC","Seaford South"
"21UFHD","Seaford West"
"21UGGD","Battle Town"
"21UGGE","Brede Valley"
"21UGGF","Central"
"21UGGG","Collington"
"21UGGH","Crowhurst"
"21UGGJ","Darwell"
"21UGGK","Eastern Rother"
"21UGGL","Ewhurst and Sedlescombe"
"21UGGM","Kewhurst"
"21UGGN","Marsham"
"21UGGP","Old Town"
"21UGGQ","Rother Levels"
"21UGGR","Rye"
"21UGGS","Sackville"
"21UGGT","St Marks"
"21UGGU","St Michaels"
"21UGGW","St Stephens"
"21UGGX","Salehurst"
"21UGGY","Sidley"
"21UGGZ","Ticehurst and Etchingham"
"21UHGM","Alfriston"
"21UHGN","Buxted and Maresfield"
"21UHGP","Chiddingly and East Hoathly"
"21UHGQ","Cross in Hand/Five Ashes"
"21UHGR","Crowborough East"
"21UHGS","Crowborough Jarvis Brook"
"21UHGT","Crowborough North"
"21UHGU","Crowborough St. Johns"
"21UHGW","Crowborough West"
"21UHGX","Danehill/Fletching/Nutley"
"21UHGY","East Dean"
"21UHGZ","Forest Row"
"21UHHA","Framfield"
"21UHHB","Frant/Withyham"
"21UHHC","Hailsham Central and North"
"21UHHD","Hailsham East"
"21UHHE","Hailsham South and West"
"21UHHF","Hartfield"
"21UHHG","Heathfield East"
"21UHHH","Heathfield North and Central"
"21UHHJ","Hellingly"
"21UHHK","Herstmonceux"
"21UHHL","Horam"
"21UHHM","Mayfield"
"21UHHN","Ninfield and Hooe with Wartling"
"21UHHP","Pevensey and Westham"
"21UHHQ","Polegate North"
"21UHHR","Polegate South"
"21UHHS","Rotherfield"
"21UHHT","Uckfield Central"
"21UHHU","Uckfield New Town"
"21UHHW","Uckfield North"
"21UHHX","Uckfield Ridgewood"
"21UHHY","Wadhurst"
"21UHHZ","Willingdon"
"22UBFQ","Billericay East"
"22UBFR","Billericay West"
"22UBFS","Burstead"
"22UBFT","Crouch"
"22UBFU","Fryerns"
"22UBFW","Laindon Park"
"22UBFX","Langdon Hills"
"22UBFY","Lee Chapel North"
"22UBFZ","Nethermayne"
"22UBGA","Pitsea North West"
"22UBGB","Pitsea South East"
"22UBGC","St Martin's"
"22UBGD","Vange"
"22UBGE","Wickford Castledon"
"22UBGF","Wickford North"
"22UBGG","Wickford Park"
"22UCGL","Black Notley and Terling"
"22UCGM","Bocking Blackwater"
"22UCGN","Bocking North"
"22UCGP","Bocking South"
"22UCGQ","Bradwell, Silver End and Rivenhall"
"22UCGR","Braintree Central"
"22UCGS","Braintree East"
"22UCGT","Braintree South"
"22UCGU","Bumpstead"
"22UCGW","Coggeshall and North Feering"
"22UCGX","Cressing and Stisted"
"22UCGY","Gosfield and Greenstead Green"
"22UCGZ","Great Notley and Braintree West"
"22UCHA","Halstead St Andrew's"
"22UCHB","Halstead Trinity"
"22UCHC","Hatfield Peverel"
"22UCHD","Hedingham and Maplestead"
"22UCHE","Kelvedon"
"22UCHF","Panfield"
"22UCHG","Rayne"
"22UCHH","Stour Valley North"
"22UCHJ","Stour Valley South"
"22UCHK","The Three Colnes"
"22UCHL","Three Fields"
"22UCHM","Upper Colne"
"22UCHN","Witham Chipping Hill and Central"
"22UCHP","Witham North"
"22UCHQ","Witham South"
"22UCHR","Witham West"
"22UCHS","Yeldham"
"22UDFT","Brentwood North"
"22UDFU","Brentwood South"
"22UDFW","Brentwood West"
"22UDFX","Brizes and Doddinghurst"
"22UDFY","Herongate, Ingrave and West Horndon"
"22UDFZ","Hutton Central"
"22UDGA","Hutton East"
"22UDGB","Hutton North"
"22UDGC","Hutton South"
"22UDGD","Ingatestone, Fryerning and Mountnessing"
"22UDGE","Pilgrims Hatch"
"22UDGF","Shenfield"
"22UDGG","South Weald"
"22UDGH","Tipps Cross"
"22UDGJ","Warley"
"22UEFQ","Appleton"
"22UEFR","Boyce"
"22UEFS","Canvey Island Central"
"22UEFT","Canvey Island East"
"22UEFU","Canvey Island North"
"22UEFW","Canvey Island South"
"22UEFX","Canvey Island West"
"22UEFY","Canvey Island Winter Gardens"
"22UEFZ","Cedar Hall"
"22UEGA","St George's"
"22UEGB","St James"
"22UEGC","St Mary's"
"22UEGD","St Peter's"
"22UEGE","Victoria"
"22UFGE","Bicknacre and East and West Hanningfield"
"22UFGF","Boreham and The Leighs"
"22UFGG","Broomfield and The Walthams"
"22UFGH","Chelmer Village and Beaulieu Park"
"22UFGJ","Chelmsford Rural West"
"22UFGK","Galleywood"
"22UFGL","Goat Hall"
"22UFGM","Great Baddow East"
"22UFGN","Great Baddow West"
"22UFGP","Little Baddow, Danbury and Sandon"
"22UFGQ","Marconi"
"22UFGR","Moulsham and Central"
"22UFGS","Moulsham Lodge"
"22UFGT","Patching Hall"
"22UFGU","Rettendon and Runwell"
"22UFGW","St Andrews"
"22UFGX","South Hanningfield, Stock and Margaretting"
"22UFGY","South Woodham-Chetwood and Collingwood"
"22UFGZ","South Woodham-Elmwood and Woodville"
"22UFHA","Springfield North"
"22UFHB","The Lawns"
"22UFHC","Trinity"
"22UFHD","Waterhouse Farm"
"22UFHE","Writtle"
"22UGGE","Berechurch"
"22UGGF","Birch and Winstree"
"22UGGG","Castle"
"22UGGH","Christ Church"
"22UGGJ","Copford and West Stanway"
"22UGGK","Dedham and Langham"
"22UGGL","East Donyland"
"22UGGM","Fordham and Stour"
"22UGGN","Great Tey"
"22UGGP","Harbour"
"22UGGQ","Highwoods"
"22UGGR","Lexden"
"22UGGS","Marks Tey"
"22UGGT","Mile End"
"22UGGU","New Town"
"22UGGW","Prettygate"
"22UGGX","Pyefleet"
"22UGGY","St Andrew's"
"22UGGZ","St Anne's"
"22UGHA","St John's"
"22UGHB","Shrub End"
"22UGHC","Stanway"
"22UGHD","Tiptree"
"22UGHE","West Bergholt and Eight Ash Green"
"22UGHF","West Mersea"
"22UGHG","Wivenhoe Cross"
"22UGHH","Wivenhoe Quay"
"22UHGH","Broadley Common, Epping Upland and Nazeing"
"22UHGJ","Buckhurst Hill East"
"22UHGK","Buckhurst Hill West"
"22UHGL","Chigwell Row"
"22UHGM","Chigwell Village"
"22UHGN","Chipping Ongar, Greensted and Marden Ash"
"22UHGP","Epping Hemnall"
"22UHGQ","Epping Lindsey and Thornwood Common"
"22UHGR","Grange Hill"
"22UHGS","Hastingwood, Matching and Sheering Village"
"22UHGT","High Ongar, Willingale and The Rodings"
"22UHGU","Lambourne"
"22UHGW","Loughton Alderton"
"22UHGX","Loughton Broadway"
"22UHGY","Loughton Fairmead"
"22UHGZ","Loughton Forest"
"22UHHA","Loughton Roding"
"22UHHB","Loughton St John's"
"22UHHC","Loughton St Mary's"
"22UHHD","Lower Nazeing"
"22UHHE","Lower Sheering"
"22UHHF","Moreton and Fyfield"
"22UHHG","North Weald Bassett"
"22UHHH","Passingford"
"22UHHJ","Roydon"
"22UHHK","Shelley"
"22UHHL","Theydon Bois"
"22UHHM","Waltham Abbey High Beach"
"22UHHN","Waltham Abbey Honey Lane"
"22UHHP","Waltham Abbey North East"
"22UHHQ","Waltham Abbey Paternoster"
"22UHHR","Waltham Abbey South West"
"22UJFS","Bush Fair"
"22UJFT","Church Langley"
"22UJFU","Great Parndon"
"22UJFW","Harlow Common"
"22UJFX","Little Parndon and Hare Street"
"22UJFY","Mark Hall"
"22UJFZ","Netteswell"
"22UJGA","Old Harlow"
"22UJGB","Staple Tye"
"22UJGC","Sumners and Kingsmoor"
"22UJGD","Toddbrook"
"22UKFX","Althorne"
"22UKFY","Burnham-on-Crouch North"
"22UKFZ","Burnham-on-Crouch South"
"22UKGA","Great Totham"
"22UKGB","Heybridge East"
"22UKGC","Heybridge West"
"22UKGD","Maldon East"
"22UKGE","Maldon North"
"22UKGF","Maldon South"
"22UKGG","Maldon West"
"22UKGH","Mayland"
"22UKGJ","Purleigh"
"22UKGK","Southminster"
"22UKGL","Tillingham"
"22UKGM","Tollesbury"
"22UKGN","Tolleshunt D'Arcy"
"22UKGP","Wickham Bishops and Woodham"
"22ULGA","Ashingdon and Canewdon"
"22ULGB","Barling and Sutton"
"22ULGC","Downhall and Rawreth"
"22ULGD","Foulness and Great Wakering"
"22ULGE","Grange"
"22ULGF","Hawkwell North"
"22ULGG","Hawkwell South"
"22ULGH","Hawkwell West"
"22ULGJ","Hockley Central"
"22ULGK","Hockley North"
"22ULGL","Hockley West"
"22ULGM","Hullbridge"
"22ULGN","Lodge"
"22ULGP","Rayleigh Central"
"22ULGQ","Rochford"
"22ULGR","Sweyne Park"
"22ULGS","Trinity"
"22ULGT","Wheatley"
"22ULGU","Whitehouse"
"22UNGK","Alresford"
"22UNGL","Alton Park"
"22UNGM","Ardleigh and Little Bromley"
"22UNGN","Beaumont and Thorpe"
"22UNGP","Bockings Elm"
"22UNGQ","Bradfield, Wrabness and Wix"
"22UNGR","Brightlingsea"
"22UNGS","Burrsville"
"22UNGT","Frinton"
"22UNGU","Golf Green"
"22UNGW","Great and Little Oakley"
"22UNGX","Great Bentley"
"22UNGY","Hamford"
"22UNGZ","Harwich East"
"22UNHA","Harwich East Central"
"22UNHB","Harwich West"
"22UNHC","Harwich West Central"
"22UNHD","Haven"
"22UNHE","Holland and Kirby"
"22UNHF","Homelands"
"22UNHG","Lawford"
"22UNHH","Little Clacton and Weeley"
"22UNHJ","Manningtree, Mistley, Little Bentley and Tendring"
"22UNHK","Peter Bruff"
"22UNHL","Pier"
"22UNHM","Ramsey and Parkeston"
"22UNHN","Rush Green"
"22UNHP","St Bartholomews"
"22UNHQ","St James"
"22UNHR","St Johns"
"22UNHS","St Marys"
"22UNHT","St Osyth and Point Clear"
"22UNHU","St Pauls"
"22UNHW","Thorrington, Frating, Elmstead and Great Bromley"
"22UNHX","Walton"
